column,dtype,total_rows,null_count,null_pct,completeness,unique_values,min,max,sample_values
year,Int16,7079081,0,0.0,100.00%,1,2024,2024,[2024]
month,Int8,7079081,0,0.0,100.00%,12,1,12,"[1, 2, 3, 4, 5]"
day_of_month,Int8,7079081,0,0.0,100.00%,31,1,31,"[1, 2, 3, 4, 5]"
day_of_week,Int8,7079081,0,0.0,100.00%,7,1,7,"[1, 2, 3, 4, 5]"
fl_date,datetime64[ns],7079081,0,0.0,100.00%,366,2024-01-01 00:00:00,2024-12-31 00:00:00,"[Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-04 00:00:00'), Timestamp('2024-01-05 00:00:00')]"
op_unique_carrier,category,7079081,0,0.0,100.00%,15,n/a,n/a,"['9E', 'AA', 'AS', 'B6', 'DL']"
op_carrier_fl_num,Int32,7079081,1,0.0,100.00%,6862,1,8819,"[4814, 4815, 4817, 4818, 4822]"
origin,category,7079081,0,0.0,100.00%,348,n/a,n/a,"['JFK', 'MSP', 'RIC', 'DTW', 'JAX']"
origin_city_name,category,7079081,0,0.0,100.00%,342,n/a,n/a,"['New York, NY', 'Minneapolis, MN', 'Richmond, VA', 'Detroit, MI', 'Jacksonville, FL']"
origin_state_nm,category,7079081,0,0.0,100.00%,52,n/a,n/a,"['New York', 'Minnesota', 'Virginia', 'Michigan', 'Florida']"
dest,category,7079081,0,0.0,100.00%,348,n/a,n/a,"['DTW', 'CLE', 'RIC', 'JFK', 'MKE']"
dest_city_name,category,7079081,0,0.0,100.00%,342,n/a,n/a,"['Detroit, MI', 'Cleveland, OH', 'Richmond, VA', 'New York, NY', 'Milwaukee, WI']"
dest_state_nm,category,7079081,0,0.0,100.00%,52,n/a,n/a,"['Michigan', 'Ohio', 'Virginia', 'New York', 'Wisconsin']"
crs_dep_time,Int16,7079081,0,0.0,100.00%,1363,1,2400,"[1252, 1015, 1415, 1650, 1410]"
dep_time,float32,7079081,92659,1.31,98.69%,1440,1.0,2400.0,"[1247.0, 1001.0, 1411.0, 1643.0, 1010.0]"
dep_delay,float32,7079081,92970,1.31,98.69%,1862,-96.0,3777.0,"[-5.0, -14.0, -4.0, -7.0, -8.0]"
taxi_out,float32,7079081,95734,1.35,98.65%,190,1.0,214.0,"[31.0, 20.0, 21.0, 13.0, 14.0]"
wheels_off,float32,7079081,95734,1.35,98.65%,1440,1.0,2400.0,"[1318.0, 1021.0, 1432.0, 1656.0, 1031.0]"
wheels_on,float32,7079081,97856,1.38,98.62%,1440,1.0,2400.0,"[1442.0, 1249.0, 1533.0, 1747.0, 1016.0]"
taxi_in,float32,7079081,97856,1.38,98.62%,227,1.0,444.0,"[7.0, 6.0, 8.0, 12.0, 4.0]"
crs_arr_time,Int16,7079081,0,0.0,100.00%,1429,1,2359,"[1508, 1325, 1601, 1841, 1034]"
arr_time,float32,7079081,97854,1.38,98.62%,1440,1.0,2400.0,"[1449.0, 1255.0, 1541.0, 1759.0, 1020.0]"
arr_delay,float32,7079081,113814,1.61,98.39%,1887,-126.0,3803.0,"[-19.0, -30.0, -20.0, -42.0, -14.0]"
cancelled,Int8,7079081,0,0.0,100.00%,2,0,1,"[0, 1]"
cancellation_code,category,7079081,6982766,98.64,1.36%,4,n/a,n/a,"['B', 'A', 'C', 'D']"
diverted,Int8,7079081,0,0.0,100.00%,2,0,1,"[0, 1]"
crs_elapsed_time,float32,7079081,1,0.0,100.00%,587,-160.0,1326.0,"[136.0, 130.0, 106.0, 111.0, 79.0]"
actual_elapsed_time,float32,7079081,113814,1.61,98.39%,719,15.0,792.0,"[122.0, 114.0, 90.0, 76.0, 70.0]"
air_time,float32,7079081,113814,1.61,98.39%,681,5.0,723.0,"[84.0, 88.0, 61.0, 51.0, 45.0]"
distance,float32,7079081,0,0.0,100.00%,1626,11.0,5095.0,"[509.0, 622.0, 288.0, 237.0, 833.0]"
carrier_delay,Int16,7079081,0,0.0,100.00%,1632,0,3689,"[0, 13, 162, 18, 50]"
weather_delay,Int16,7079081,0,0.0,100.00%,1116,0,1804,"[0, 35, 15, 425, 37]"
nas_delay,Int16,7079081,0,0.0,100.00%,849,0,2700,"[0, 4, 8, 17, 18]"
security_delay,Int16,7079081,0,0.0,100.00%,195,0,1164,"[0, 10, 8, 4, 5]"
late_aircraft_delay,Int16,7079081,0,0.0,100.00%,1377,0,2690,"[0, 18, 17, 83, 41]"
